Date,Lake Kegonsa,Lake Mendota,Lake Monona,Lake Waubesa
4/17/95,843.83,849.7,845.09,844.86
4/18/95,843.88,849.76,845.15,844.88
4/19/95,843.89,849.81,845.18,844.98
4/20/95,843.92,849.8,845.2,844.97
4/21/95,843.88,849.84,845.21,844.96
4/22/95,849.84,845.19,1142,
4/23/95,849.83,845.18,1138,
4/24/95,843.84,849.82,845.15,844.93
4/25/95,843.83,849.81,845.13,844.88
4/26/95,843.82,849.82,845.12,844.88
4/27/95,843.88,849.91,845.18,844.98
4/28/95,843.88,849.92,845.19,844.99
4/29/95,849.91,845.18,1136,
4/30/95,849.91,845.15,1130,
5/1/95,843.85,849.91,845.12,844.9
5/2/95,843.82,849.9,845.09,844.88
5/3/95,843.79,849.89,845.06,844.85
5/4/95,843.75,849.88,845.03,844.82
5/5/95,843.7,849.89,844.98,844.83
5/6/95,849.89,844.96,1026,
5/7/95,849.88,844.95,1019,
5/8/95,843.55,849.91,845.02,844.75
5/9/95,843.6,850.01,845.12,844.86
5/10/95,843.66,850.14,845.19,845.01
5/11/95,843.67,850.18,845.2,845.05
5/12/95,843.66,850.19,845.2,845.02
5/13/95,850.19,845.24,1128,
5/14/95,850.24,845.21,1121,
5/15/95,843.58,850.23,845.18,844.96
5/16/95,843.52,850.24,845.15,844.93
5/17/95,843.48,850.25,845.1,844.87
5/18/95,843.4,850.24,845.07,844.83
5/19/95,843.35,850.23,845.03,844.81
5/20/95,850.21,845.02,1078,
5/21/95,850.17,845.01,1074,
5/22/95,843.17,850.13,845.01,844.76
5/23/95,843.18,850.12,845.03,844.74
5/24/95,843.2,850.1,845.05,844.79
5/25/95,843.22,850.07,845.04,844.78
5/26/95,843.22,850.04,845.04,844.77
5/27/95,850.03,845.1,1084,
5/28/95,850.15,845.24,1111,
5/29/95,850.17,845.24,1121,
5/30/95,843.41,850.16,845.24,844.98
5/31/95,843.42,850.14,845.23,844.97
6/1/95,843.43,850.11,845.23,844.96
6/2/95,843.45,850.08,845.24,844.95
6/3/95,850.06,845.23,1096,
6/4/95,850.03,845.23,1093,
6/5/95,843.49,850,845.22,844.94
6/6/95,843.47,849.98,845.23,844.93
6/7/95,843.54,849.96,845.26,844.96
6/8/95,843.58,849.96,845.31,844.99
6/9/95,843.52,849.91,845.28,845
6/10/95,849.89,845.27,1091,
6/11/95,849.85,845.25,1092,
6/12/95,843.45,849.81,845.23,844.99
6/13/95,843.44,849.8,845.18,844.97
