"","sampledate","totpuf_sloh"
"1",1995-05-09,0.086
"2",1995-05-23,0.081
"3",1995-06-06,0.074
"4",1995-06-21,0.037
"5",1995-07-06,0.042
"6",1995-07-18,0.029
"7",1995-08-02,0.029
"8",1995-08-14,0.024
"9",1995-08-30,0.023
"10",1995-09-11,0.032
"11",1995-09-25,0.059
"12",1995-10-11,0.109
"13",1995-10-25,0.157
"14",1995-11-10,0.144
"15",1995-12-06,0.124
"16",1996-02-06,0.1095
"17",1996-04-09,0.125
"18",1996-04-17,0.123
"19",1996-05-01,0.108
"20",1996-05-14,0.099
"21",1996-05-28,0.109
"22",1996-06-10,0.104
"23",1996-06-26,0.088
"24",1996-07-08,0.065
"25",1996-07-22,0.054
"26",1996-08-05,0.035
"27",1996-08-19,0.024
"28",1996-09-05,0.019
"29",1996-09-16,0.032
"30",1996-10-16,0.104
"31",1996-11-08,0.135
"32",1996-11-25,0.134
"33",1997-01-14,0.1295
"34",1997-02-17,0.1225
"35",1997-04-09,0.154
"36",1997-04-21,0.143
"37",1997-05-02,0.15
"38",1997-05-13,0.128
"39",1997-05-28,0.16
"40",1997-06-11,0.119
"41",1997-06-25,0.068
"42",1997-07-09,0.084
"43",1997-07-24,0.049
"44",1997-08-06,0.042
"45",1997-08-18,0.047
"46",1997-09-02,0.036
"47",1997-10-01,0.104
"48",1997-10-30,0.177
"49",1997-11-30,0.155
"50",1998-02-06,0.1435
"51",1998-03-13,0.137
"52",1998-03-26,0.137
"53",1998-04-10,0.15
"54",1998-04-24,0.172
"55",1998-05-11,0.105
"56",1998-05-28,0.13
"57",1998-06-08,0.089
"58",1998-06-22,0.08
"59",1998-07-06,0.067
"60",1998-07-23,0.053
"61",1998-08-02,0.028
"62",1998-08-18,0.034
"63",1998-09-02,0.02
"64",1998-09-28,0.041
"65",1998-10-27,0.122
"66",1998-11-23,0.162
"67",1999-01-25,0.1335
"68",1999-02-22,0.137
"69",1999-03-29,0.149
"70",1999-04-12,0.113
"71",1999-04-26,0.112
"72",1999-05-10,0.112
"73",1999-05-26,0.109
"74",1999-06-07,0.137
"75",1999-06-21,0.087
"76",1999-07-06,0.064
"77",1999-07-19,0.048
"78",1999-08-02,0.037
"79",1999-08-16,0.041
"80",1999-08-30,0.035
