lakeid,year4,daynum,sampledate,depth,totpf,totpuf,totpuf_sloh,drp_sloh
ME,1995,129,5/9/1995,0,,,0.084,
ME,1995,129,5/9/1995,1,,,,
ME,1995,129,5/9/1995,2,,,,
ME,1995,129,5/9/1995,3,,,,
ME,1995,129,5/9/1995,4,,,0.086,
ME,1995,129,5/9/1995,5,,,,
ME,1995,129,5/9/1995,6,,,,
ME,1995,129,5/9/1995,7,,,,
ME,1995,129,5/9/1995,8,,,,
ME,1995,129,5/9/1995,9,,,,
ME,1995,129,5/9/1995,10,,,,
ME,1995,129,5/9/1995,11,,,,
ME,1995,129,5/9/1995,12,,,,
ME,1995,129,5/9/1995,13,,,,
ME,1995,129,5/9/1995,14,,,,
ME,1995,129,5/9/1995,15,,,,
ME,1995,129,5/9/1995,16,,,,
ME,1995,129,5/9/1995,17,,,,
ME,1995,129,5/9/1995,18,,,,
ME,1995,129,5/9/1995,19,,,,
ME,1995,129,5/9/1995,20,,,0.084,
ME,1995,129,5/9/1995,21,,,,
ME,1995,129,5/9/1995,22,,,,
ME,1995,129,5/9/1995,23,,,,
ME,1995,143,5/23/1995,0,,,0.098,0.063
ME,1995,143,5/23/1995,1,,,,
ME,1995,143,5/23/1995,2,,,,
ME,1995,143,5/23/1995,3,,,,
ME,1995,143,5/23/1995,4,,,0.081,0.056
ME,1995,143,5/23/1995,5,,,,
ME,1995,143,5/23/1995,6,,,,
ME,1995,143,5/23/1995,7,,,,
ME,1995,143,5/23/1995,8,,,,
ME,1995,143,5/23/1995,9,,,,
ME,1995,143,5/23/1995,10,,,,
ME,1995,143,5/23/1995,11,,,,
ME,1995,143,5/23/1995,12,,,,
ME,1995,143,5/23/1995,13,,,,
ME,1995,143,5/23/1995,14,,,,
ME,1995,143,5/23/1995,15,,,,
ME,1995,143,5/23/1995,16,,,,
ME,1995,143,5/23/1995,17,,,,
ME,1995,143,5/23/1995,18,,,,
ME,1995,143,5/23/1995,19,,,,
ME,1995,143,5/23/1995,20,,,,
ME,1995,143,5/23/1995,21,,,,
ME,1995,143,5/23/1995,21.5,,,,
ME,1995,143,5/23/1995,22,,,,
ME,1995,143,5/23/1995,22.5,,,,
ME,1995,143,5/23/1995,23,,,,
ME,1995,157,6/6/1995,0,,,0.072,0.053
ME,1995,157,6/6/1995,1,,,,
ME,1995,157,6/6/1995,2,,,,
ME,1995,157,6/6/1995,3,,,,
ME,1995,157,6/6/1995,4,,,0.074,0.054
ME,1995,157,6/6/1995,5,,,,
ME,1995,157,6/6/1995,6,,,,
ME,1995,157,6/6/1995,7,,,,
ME,1995,157,6/6/1995,8,,,0.081,0.066
ME,1995,157,6/6/1995,9,,,,
ME,1995,157,6/6/1995,10,,,0.095,0.07
ME,1995,157,6/6/1995,11,,,,
ME,1995,157,6/6/1995,12,,,0.092,0.076
ME,1995,157,6/6/1995,13,,,,
ME,1995,157,6/6/1995,14,,,0.134,0.112
ME,1995,157,6/6/1995,15,,,,
ME,1995,157,6/6/1995,16,,,0.157,0.13
ME,1995,157,6/6/1995,17,,,,
ME,1995,157,6/6/1995,18,,,0.165,0.141
ME,1995,157,6/6/1995,19,,,,
ME,1995,157,6/6/1995,20,,,0.218,0.184
ME,1995,157,6/6/1995,21,,,,
ME,1995,157,6/6/1995,22,,,0.315,0.232
ME,1995,157,6/6/1995,23,,,,
ME,1995,157,6/6/1995,24,,,,
ME,1995,172,6/21/1995,0,,,0.06,0
ME,1995,172,6/21/1995,1,,,,
ME,1995,172,6/21/1995,2,,,,
ME,1995,172,6/21/1995,3,,,,
ME,1995,172,6/21/1995,4,,,0.037,0
ME,1995,172,6/21/1995,5,,,,
ME,1995,172,6/21/1995,6,,,,
ME,1995,172,6/21/1995,7,,,,
ME,1995,172,6/21/1995,8,,,,
ME,1995,172,6/21/1995,9,,,,
ME,1995,172,6/21/1995,10,,,,
ME,1995,172,6/21/1995,11,,,,
ME,1995,172,6/21/1995,12,,,,
ME,1995,172,6/21/1995,13,,,,
ME,1995,172,6/21/1995,14,,,,
ME,1995,172,6/21/1995,15,,,,
ME,1995,187,7/6/1995,0,,,0.046,0
ME,1995,187,7/6/1995,1,,,,
ME,1995,187,7/6/1995,2,,,,
ME,1995,187,7/6/1995,3,,,,
ME,1995,187,7/6/1995,4,,,0.042,0
ME,1995,187,7/6/1995,5,,,,
ME,1995,187,7/6/1995,6,,,,
ME,1995,187,7/6/1995,7,,,,
ME,1995,187,7/6/1995,8,,,0.039,0.003
ME,1995,187,7/6/1995,9,,,,
ME,1995,187,7/6/1995,10,,,0.041,0
ME,1995,187,7/6/1995,11,,,,
ME,1995,187,7/6/1995,12,,,0.049,0.021
ME,1995,187,7/6/1995,13,,,,
ME,1995,187,7/6/1995,14,,,0.214,0.197
ME,1995,187,7/6/1995,15,,,,
ME,1995,187,7/6/1995,16,,,0.194,0.178
ME,1995,187,7/6/1995,17,,,,
ME,1995,187,7/6/1995,18,,,0.364,0.36
ME,1995,187,7/6/1995,19,,,,
ME,1995,187,7/6/1995,20,,,0.375,0.372
ME,1995,187,7/6/1995,21,,,,
ME,1995,187,7/6/1995,22,,,0.386,0.38
ME,1995,187,7/6/1995,23,,,,
ME,1995,187,7/6/1995,24,,,,
ME,1995,187,7/6/1995,25,,,,
ME,1995,199,7/18/1995,0,,,0.03,0.003
ME,1995,199,7/18/1995,1,,,,
ME,1995,199,7/18/1995,2,,,,
ME,1995,199,7/18/1995,3,,,,
ME,1995,199,7/18/1995,4,,,0.029,0.005
ME,1995,199,7/18/1995,5,,,,
ME,1995,199,7/18/1995,6,,,,
ME,1995,199,7/18/1995,7,,,,
ME,1995,199,7/18/1995,8,,,,
ME,1995,199,7/18/1995,9,,,,
ME,1995,199,7/18/1995,10,,,,
ME,1995,199,7/18/1995,11,,,,
ME,1995,199,7/18/1995,12,,,,
ME,1995,199,7/18/1995,13,,,,
ME,1995,199,7/18/1995,14,,,,
ME,1995,199,7/18/1995,15,,,,
ME,1995,199,7/18/1995,16,,,,
ME,1995,199,7/18/1995,17,,,,
ME,1995,199,7/18/1995,18,,,,
ME,1995,199,7/18/1995,19,,,,
ME,1995,199,7/18/1995,20,,,,
ME,1995,199,7/18/1995,21,,,,
ME,1995,199,7/18/1995,22,,,,
ME,1995,199,7/18/1995,23,,,,
ME,1995,199,7/18/1995,24,,,,
ME,1995,214,8/2/1995,0,,,0.032,0.002
ME,1995,214,8/2/1995,1,,,,
ME,1995,214,8/2/1995,2,,,,
ME,1995,214,8/2/1995,3,,,,
ME,1995,214,8/2/1995,4,,,0.029,0.002
ME,1995,214,8/2/1995,5,,,,
ME,1995,214,8/2/1995,6,,,,
ME,1995,214,8/2/1995,7,,,,
ME,1995,214,8/2/1995,8,,,0.032,0.008
ME,1995,214,8/2/1995,8,,,,
ME,1995,214,8/2/1995,8.5,,,,
ME,1995,214,8/2/1995,9,,,,
ME,1995,214,8/2/1995,9.5,,,,
ME,1995,214,8/2/1995,10,,,0.099,0.066
ME,1995,214,8/2/1995,10.5,,,,
ME,1995,214,8/2/1995,11,,,,
ME,1995,214,8/2/1995,11.5,,,,
ME,1995,214,8/2/1995,12,,,0.235,0.154
ME,1995,214,8/2/1995,12.5,,,,
ME,1995,214,8/2/1995,13,,,,
ME,1995,214,8/2/1995,13.5,,,,
ME,1995,214,8/2/1995,14,,,0.307,0.262
ME,1995,214,8/2/1995,15,,,,
ME,1995,214,8/2/1995,16,,,0.343,0.308
ME,1995,214,8/2/1995,17,,,,
ME,1995,214,8/2/1995,18,,,0.427,0.408
ME,1995,214,8/2/1995,19,,,,
ME,1995,214,8/2/1995,20,,,0.343,0.312
ME,1995,214,8/2/1995,21,,,,
ME,1995,214,8/2/1995,22,,,0.581,0.52
ME,1995,214,8/2/1995,23,,,,
ME,1995,214,8/2/1995,24,,,,
ME,1995,214,8/2/1995,24.5,,,,
ME,1995,226,8/14/1995,0,,,0.023,0
ME,1995,226,8/14/1995,1,,,,
ME,1995,226,8/14/1995,2,,,,
ME,1995,226,8/14/1995,3,,,,
ME,1995,226,8/14/1995,4,,,0.024,0
ME,1995,226,8/14/1995,5,,,,
ME,1995,226,8/14/1995,6,,,,
ME,1995,226,8/14/1995,7,,,,
ME,1995,226,8/14/1995,7.5,,,,
ME,1995,226,8/14/1995,8,,,,
ME,1995,226,8/14/1995,8.5,,,,
ME,1995,226,8/14/1995,9,,,,
ME,1995,226,8/14/1995,9.5,,,,
ME,1995,226,8/14/1995,10,,,,
ME,1995,226,8/14/1995,10.5,,,,
ME,1995,226,8/14/1995,11,,,,
ME,1995,226,8/14/1995,11.5,,,,
ME,1995,226,8/14/1995,12,,,,
ME,1995,226,8/14/1995,12.5,,,,
ME,1995,226,8/14/1995,13,,,,
ME,1995,226,8/14/1995,13.5,,,,
ME,1995,226,8/14/1995,14,,,,
ME,1995,226,8/14/1995,14.5,,,,
ME,1995,226,8/14/1995,15,,,,
ME,1995,226,8/14/1995,15.5,,,,
ME,1995,226,8/14/1995,16,,,,
ME,1995,226,8/14/1995,16.5,,,,
ME,1995,226,8/14/1995,17,,,,
ME,1995,226,8/14/1995,17.5,,,,
ME,1995,226,8/14/1995,18,,,,
ME,1995,226,8/14/1995,19,,,,
ME,1995,226,8/14/1995,20,,,,
ME,1995,226,8/14/1995,21,,,,
ME,1995,226,8/14/1995,22,,,,
ME,1995,226,8/14/1995,23,,,,
ME,1995,242,8/30/1995,0,,,0.02,0
ME,1995,242,8/30/1995,1,,,,
ME,1995,242,8/30/1995,2,,,,
ME,1995,242,8/30/1995,3,,,,
ME,1995,242,8/30/1995,4,,,0.023,0
ME,1995,242,8/30/1995,5,,,,
ME,1995,242,8/30/1995,6,,,,
ME,1995,242,8/30/1995,7,,,,
ME,1995,242,8/30/1995,8,,,0.021,0
ME,1995,242,8/30/1995,8.5,,,,
ME,1995,242,8/30/1995,9,,,,
ME,1995,242,8/30/1995,9.5,,,,
ME,1995,242,8/30/1995,10,,,0.049,0.021
ME,1995,242,8/30/1995,10.5,,,,
ME,1995,242,8/30/1995,11,,,,
ME,1995,242,8/30/1995,11.5,,,,
ME,1995,242,8/30/1995,12,,,0.212,0.184
ME,1995,242,8/30/1995,12.5,,,,
ME,1995,242,8/30/1995,13,,,,
ME,1995,242,8/30/1995,14,,,0.312,0.284
ME,1995,242,8/30/1995,15,,,,
ME,1995,242,8/30/1995,16,,,0.376,0.342
ME,1995,242,8/30/1995,17,,,,
ME,1995,242,8/30/1995,18,,,0.46,0.42
ME,1995,242,8/30/1995,19,,,,
ME,1995,242,8/30/1995,20,,,0.52,0.468
ME,1995,242,8/30/1995,21,,,,
ME,1995,242,8/30/1995,22,,,0.474,0.402
ME,1995,242,8/30/1995,23,,,,
ME,1995,242,8/30/1995,24,,,,
ME,1995,254,9/11/1995,0,,,0.025,0
ME,1995,254,9/11/1995,1,,,,
ME,1995,254,9/11/1995,2,,,,
ME,1995,254,9/11/1995,3,,,,
ME,1995,254,9/11/1995,4,,,0.032,0.002
ME,1995,254,9/11/1995,5,,,,
ME,1995,254,9/11/1995,6,,,,
ME,1995,254,9/11/1995,7,,,,
ME,1995,254,9/11/1995,8,,,,
ME,1995,254,9/11/1995,9,,,,
ME,1995,254,9/11/1995,10,,,,
ME,1995,254,9/11/1995,10.5,,,,
ME,1995,254,9/11/1995,11,,,,
ME,1995,254,9/11/1995,11.5,,,,
ME,1995,254,9/11/1995,12,,,,
ME,1995,254,9/11/1995,12.5,,,,
ME,1995,254,9/11/1995,13,,,,
ME,1995,254,9/11/1995,13.5,,,,
ME,1995,254,9/11/1995,14,,,,
ME,1995,254,9/11/1995,14.5,,,,
ME,1995,254,9/11/1995,15,,,,
ME,1995,254,9/11/1995,15.5,,,,
ME,1995,254,9/11/1995,16,,,,
ME,1995,254,9/11/1995,17,,,,
ME,1995,254,9/11/1995,18,,,,
ME,1995,254,9/11/1995,19,,,,
ME,1995,254,9/11/1995,20,,,,
ME,1995,254,9/11/1995,21,,,,
ME,1995,254,9/11/1995,22,,,,
ME,1995,254,9/11/1995,23,,,,
ME,1995,268,9/25/1995,0,,,0.057,0.025
ME,1995,268,9/25/1995,1,,,,
ME,1995,268,9/25/1995,2,,,,
ME,1995,268,9/25/1995,3,,,,
ME,1995,268,9/25/1995,4,,,0.059,0.024
ME,1995,268,9/25/1995,5,,,,
ME,1995,268,9/25/1995,6,,,,
ME,1995,268,9/25/1995,7,,,,
ME,1995,268,9/25/1995,8,,,,
ME,1995,268,9/25/1995,9,,,,
ME,1995,268,9/25/1995,10,,,,
ME,1995,268,9/25/1995,11,,,,
ME,1995,268,9/25/1995,12,,,,
ME,1995,268,9/25/1995,13,,,,
ME,1995,268,9/25/1995,13.5,,,,
ME,1995,268,9/25/1995,14,,,,
ME,1995,268,9/25/1995,14.5,,,,
ME,1995,268,9/25/1995,15,,,,
ME,1995,268,9/25/1995,16,,,,
ME,1995,268,9/25/1995,17,,,,
ME,1995,268,9/25/1995,18,,,,
ME,1995,268,9/25/1995,19,,,,
ME,1995,268,9/25/1995,20,,,,
ME,1995,268,9/25/1995,21,,,,
ME,1995,268,9/25/1995,22,,,,
ME,1995,268,9/25/1995,23,,,,
ME,1995,268,9/25/1995,24,,,,
ME,1995,284,10/11/1995,0,,,0.113,0.079
ME,1995,284,10/11/1995,1,,,,
ME,1995,284,10/11/1995,2,,,,
ME,1995,284,10/11/1995,3,,,,
ME,1995,284,10/11/1995,4,,,0.109,0.08
ME,1995,284,10/11/1995,5,,,,
ME,1995,284,10/11/1995,6,,,,
ME,1995,284,10/11/1995,7,,,,
ME,1995,284,10/11/1995,8,,,,
ME,1995,284,10/11/1995,9,,,,
ME,1995,284,10/11/1995,10,,,,
ME,1995,284,10/11/1995,11,,,,
ME,1995,284,10/11/1995,12,,,,
ME,1995,284,10/11/1995,13,,,,
ME,1995,284,10/11/1995,14,,,,
ME,1995,284,10/11/1995,15,,,,
ME,1995,284,10/11/1995,16,,,,
ME,1995,284,10/11/1995,17,,,,
ME,1995,284,10/11/1995,18,,,,
ME,1995,284,10/11/1995,18.5,,,,
ME,1995,284,10/11/1995,19,,,,
ME,1995,284,10/11/1995,19.5,,,,
ME,1995,284,10/11/1995,20,,,,
ME,1995,284,10/11/1995,20.5,,,,
ME,1995,284,10/11/1995,21,,,,
ME,1995,284,10/11/1995,21.5,,,,
ME,1995,284,10/11/1995,22,,,,
ME,1995,284,10/11/1995,22.5,,,,
ME,1995,298,10/25/1995,0,,,0.146,0.11
ME,1995,298,10/25/1995,1,,,,
ME,1995,298,10/25/1995,2,,,,
ME,1995,298,10/25/1995,3,,,,
ME,1995,298,10/25/1995,4,,,0.157,0.111
ME,1995,298,10/25/1995,5,,,,
ME,1995,298,10/25/1995,6,,,,
ME,1995,298,10/25/1995,7,,,,
