"sampledate","depth","wtemp","o2","o2sat","deck","light","frlight"
"1995-05-09",0,7.8,13.2,117.7,NA,NA,NA
"1995-05-09",1,7.8,13.1,116.8,NA,NA,NA
"1995-05-09",2,7.8,13.2,117.7,NA,NA,NA
"1995-05-09",3,7.8,13.2,117.7,NA,NA,NA
"1995-05-09",4,7.8,13.2,117.7,NA,NA,NA
"1995-05-09",5,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",6,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",7,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",8,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",9,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",10,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",11,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",12,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",13,7.7,13.1,116.5,NA,NA,NA
"1995-05-09",14,7.6,13,115.4,NA,NA,NA
"1995-05-09",15,7.6,13,115.4,NA,NA,NA
"1995-05-09",16,7.6,13.1,116.3,NA,NA,NA
"1995-05-09",17,7.6,13,115.4,NA,NA,NA
"1995-05-09",18,7.6,13,115.4,NA,NA,NA
"1995-05-09",19,7.6,NA,NA,NA,NA,NA
"1995-05-09",20,7.6,13,115.4,NA,NA,NA
"1995-05-09",21,7.6,12.9,114.5,NA,NA,NA
"1995-05-09",22,7.6,13.1,116.3,NA,NA,NA
"1995-05-09",23,7.6,13,115.4,NA,NA,NA
"1995-05-23",0,14,9.2,94.7,NA,NA,NA
"1995-05-23",1,14,9.2,94.7,NA,NA,NA
"1995-05-23",2,14,9.3,95.7,NA,NA,NA
"1995-05-23",3,13.9,9.3,95.5,NA,NA,NA
"1995-05-23",4,13.9,9.5,97.6,NA,NA,NA
"1995-05-23",5,13.4,9.6,97.5,NA,NA,NA
"1995-05-23",6,13.3,9.6,97.3,NA,NA,NA
"1995-05-23",7,13.2,9.5,96.1,NA,NA,NA
"1995-05-23",8,13.1,9.4,94.9,NA,NA,NA
"1995-05-23",9,12.9,9.2,92.4,NA,NA,NA
"1995-05-23",10,12.9,9.1,91.4,NA,NA,NA
"1995-05-23",11,12.8,9.1,91.2,NA,NA,NA
"1995-05-23",12,12.6,9.1,90.8,NA,NA,NA
"1995-05-23",13,11.9,9,88.4,NA,NA,NA
"1995-05-23",14,11.1,8.9,85.8,NA,NA,NA
"1995-05-23",15,10.8,9.3,89.1,NA,NA,NA
"1995-05-23",16,10.5,9.3,88.5,NA,NA,NA
"1995-05-23",17,10.4,9.1,86.4,NA,NA,NA
"1995-05-23",18,10.2,9,85,NA,NA,NA
"1995-05-23",19,10.2,7.3,69,NA,NA,NA
"1995-05-23",20,9.8,8.3,77.7,NA,NA,NA
"1995-05-23",21,9.6,NA,NA,NA,NA,NA
"1995-05-23",21.5,9.6,8.4,78.2,NA,NA,NA
"1995-05-23",22,9.6,8,74.5,NA,NA,NA
"1995-05-23",22.5,9.5,7.4,68.8,NA,NA,NA
"1995-05-23",23,9.5,NA,NA,NA,NA,NA
"1995-06-06",0,19.3,10.1,116.2,NA,NA,NA
"1995-06-06",1,18.7,10.1,114.8,NA,NA,NA
"1995-06-06",2,18,10.3,115.4,NA,NA,NA
"1995-06-06",3,17.9,10.3,115.2,NA,NA,NA
"1995-06-06",4,17.5,10.2,113.1,NA,NA,NA
"1995-06-06",5,15.6,9.4,100.2,NA,NA,NA
"1995-06-06",6,15.1,9.2,97,NA,NA,NA
"1995-06-06",7,14.9,9.5,99.7,NA,NA,NA
"1995-06-06",8,14.6,9.1,94.9,NA,NA,NA
"1995-06-06",9,14.1,8.9,91.8,NA,NA,NA
"1995-06-06",10,13.8,9,92.2,NA,NA,NA
"1995-06-06",11,13.5,8.5,86.5,NA,NA,NA
"1995-06-06",12,13,7.7,77.5,NA,NA,NA
"1995-06-06",13,12,6.8,67,NA,NA,NA
"1995-06-06",14,11.5,5.9,57.4,NA,NA,NA
"1995-06-06",15,11.2,5.8,56.1,NA,NA,NA
"1995-06-06",16,11,4.9,47.2,NA,NA,NA
"1995-06-06",17,10.6,4.7,44.8,NA,NA,NA
"1995-06-06",18,10.3,3.5,33.1,NA,NA,NA
"1995-06-06",19,10.3,3.2,30.3,NA,NA,NA
"1995-06-06",20,10.1,2,18.8,NA,NA,NA
"1995-06-06",21,10,0.9,8.5,NA,NA,NA
"1995-06-06",22,9.9,0.6,5.6,NA,NA,NA
"1995-06-06",23,9.9,0.5,4.7,NA,NA,NA
"1995-06-06",24,9.8,0.3,2.8,NA,NA,NA
"1995-06-21",0,27.6,12.8,172.4,NA,NA,NA
"1995-06-21",1,27.4,15.6,209.4,NA,NA,NA
"1995-06-21",2,25.6,18.2,236.4,NA,NA,NA
"1995-06-21",3,24.2,15.1,191.1,NA,NA,NA
"1995-06-21",4,22.3,13,158.7,NA,NA,NA
